Sample_geo_accession,CN,BATCH,TIME
GSM2629542,Control,1,0h
GSM2629543,Control,2,0h
GSM2629544,Control,3,0h
GSM2629545,Control,1,0.5h
GSM2629546,Control,1,1h
GSM2629547,Control,1,2h
GSM2629548,Control,1,4h
GSM2629549,Control,1,6h
GSM2629550,Control,1,12h
GSM2629551,Control,1,24h
GSM2629552,Control,2,24h
GSM2629553,Control,3,24h
GSM2629554,Control,1,48h
GSM2629555,Control,2,48h
GSM2629556,Control,3,48h
GSM2629557,HGF,1,0.5h
GSM2629558,HGF,2,0.5h
GSM2629559,HGF,1,1h
GSM2629560,HGF,1,2h
GSM2629561,HGF,1,4h
GSM2629562,HGF,1,6h
GSM2629563,HGF,1,8h
GSM2629564,HGF,1,12h
GSM2629565,HGF,1,18h
GSM2629566,HGF,1,24h
GSM2629567,HGF,2,24h
GSM2629568,HGF,3,24h
GSM2629569,HGF,1,48h
GSM2629570,HGF,2,48h
GSM2629571,HGF,3,48h
GSM2629572,TGFb,1,0.5h
GSM2629573,TGFb,2,0.5h
GSM2629574,TGFb,1,1h
GSM2629575,TGFb,1,2h
GSM2629576,TGFb,1,4h
GSM2629577,TGFb,1,6h
GSM2629578,TGFb,1,8h
GSM2629579,TGFb,1,12h
GSM2629580,TGFb,1,18h
GSM2629581,TGFb,1,24h
GSM2629582,TGFb,2,24h
GSM2629583,TGFb,3,24h
GSM2629584,TGFb,1,48h
GSM2629585,TGFb,2,48h
GSM2629586,TGFb,3,48h